User,Tweets,Link to Tweet,Date/Time
@realDonaldTrump,"JOBS, JOBS, JOBS! https://t.co/wAkQMKdPXA",http://twitter.com/realDonaldTrump/status/841665325682827265,"March 14, 2017 at 11:00AM"
@realDonaldTrump,Great optimism in America – and the results will be even better! https://t.co/SYBl47CsZn,http://twitter.com/realDonaldTrump/status/841683431398469632,"March 14, 2017 at 12:12PM"
@realDonaldTrump,"Does anybody really believe that a reporter, who nobody ever heard of, ""went to his mailbox"" and found my tax returns? @NBCNews  FAKE NEWS!",http://twitter.com/realDonaldTrump/status/841966077005463553,"March 15, 2017 at 06:55AM"
@realDonaldTrump,"Can you imagine what the outcry would be if @SnoopDogg, failing career and all, had aimed and fired the gun at President Obama? Jail time!",http://twitter.com/realDonaldTrump/status/841967881516679168,"March 15, 2017 at 07:02AM"
@realDonaldTrump,"Will be going to Detroit, Michigan (love), today for a big meeting on bringing back car production to State &amp; U.S. Already happening!",http://twitter.com/realDonaldTrump/status/841970726341074945,"March 15, 2017 at 07:13AM"
@realDonaldTrump,"Looking forward to a big rally in Nashville, Tennessee, tonight. Big crowd of great people expected. Will be fun!",http://twitter.com/realDonaldTrump/status/841974528683192320,"March 15, 2017 at 07:29AM"
@realDonaldTrump,CEO's most optimistic since 2009. It will only get better as we continue to slash unnecessary regulations and when we begin our big tax cut!,http://twitter.com/realDonaldTrump/status/841985915778142209,"March 15, 2017 at 08:14AM"
@realDonaldTrump,I will be interviewed by @TuckerCarlson tonight at 9:00 P.M. on @FoxNews. Enjoy!,http://twitter.com/realDonaldTrump/status/842117164144431104,"March 15, 2017 at 04:55PM"
@realDonaldTrump,Thank you Andrew Jackson! #POTUS7 #USA🇺🇸 https://t.co/GToWsWXiNv,http://twitter.com/realDonaldTrump/status/842154802058543105,"March 15, 2017 at 07:25PM"
@realDonaldTrump,"In Nashville, Tennessee! Lets MAKE AMERICA GREAT AGAIN! https://t.co/m5UR4vv6UH",http://twitter.com/realDonaldTrump/status/842164356297175040,"March 15, 2017 at 08:03PM"
@realDonaldTrump,"Thank you Nashville, Tennessee! https://t.co/6snvQ0DzXN",http://twitter.com/realDonaldTrump/status/842229104434913280,"March 16, 2017 at 12:20AM"
@realDonaldTrump,A budget that puts #AmericaFirst must make safety its no. 1 priority—without safety there can be no prosperity: https://t.co/9lxx1iQo7m,http://twitter.com/realDonaldTrump/status/842403173742579714,"March 16, 2017 at 11:52AM"
@realDonaldTrump,"An honor to welcome the Taoiseach of Ireland, @EndaKennyTD to the @WhiteHouse today with @VP Pence. 🇺🇸🇮🇪 https://t.co/J3iTl2iSiQ",http://twitter.com/realDonaldTrump/status/842467917639913472,"March 16, 2017 at 04:09PM"
@realDonaldTrump,RT @USHCC: USHCC was delighted to host @IvankaTrump for a roundtable discussion w/ Hispanic women biz owners today in Washingt… https://t.co/1XoDYwBK9j,http://twitter.com/realDonaldTrump/status/842491443675611138,"March 16, 2017 at 05:43PM"
@realDonaldTrump,Great progress on healthcare. Improvements being made - Republicans coming together!,http://twitter.com/realDonaldTrump/status/842494190990901248,"March 16, 2017 at 05:54PM"
@realDonaldTrump,My representatives had a great meeting w/ the Hispanic Chamber of Commerce at the WH today. Look forward to tremendous growth &amp; future mtgs!,http://twitter.com/realDonaldTrump/status/842506649122279425,"March 16, 2017 at 06:43PM"
@realDonaldTrump,"RT @DiamondandSilk: When the President says ""You're Fired""     That means: ""Pack Yo Stuff and Go, Not Say ""You Refuse to Go!… https://t.co/aV9O7KFsmQ",http://twitter.com/realDonaldTrump/status/842670836905639936,"March 17, 2017 at 05:35AM"
@realDonaldTrump,Happy Lá Fheile Phadraig to all of my great Irish friends!,http://twitter.com/realDonaldTrump/status/842710123852320770,"March 17, 2017 at 08:12AM"
@realDonaldTrump,RT @FoxNews: Jobs created in February. https://t.co/sOaMDxxTA8,http://twitter.com/realDonaldTrump/status/842712210896052225,"March 17, 2017 at 08:20AM"
@realDonaldTrump,"RT @AmericaFirstPol: MAJOR IMPACT: @POTUS Trump is 50 Days in and moving swiftly to get America back on the right track. #MAGA 
https://t.co/gzS6eSNNDd",http://twitter.com/realDonaldTrump/status/842713677174358016,"March 17, 2017 at 08:26AM"
@realDonaldTrump,RT @foxandfriends: VIDEO: Rep. Scalise — GOP agrees on over 85 percent of health care bill https://t.co/05dtfjAUbx,http://twitter.com/realDonaldTrump/status/842714739365105664,"March 17, 2017 at 08:30AM"
@realDonaldTrump,"RT @foxandfriends: FOX NEWS ALERT: Jihadis using religious visa to enter US, experts warn (via @FoxFriendsFirst) https://t.co/pwXeR9OMQC",http://twitter.com/realDonaldTrump/status/842715710765830147,"March 17, 2017 at 08:34AM"
@realDonaldTrump,"North Korea is behaving very badly. They have been ""playing"" the United States for years. China has done little to help!",http://twitter.com/realDonaldTrump/status/842724011234791424,"March 17, 2017 at 09:07AM"
@realDonaldTrump,"""The President Changed. So Has Small Businesses' Confidence""
https://t.co/daTGjPmYeJ",http://twitter.com/realDonaldTrump/status/842739155230740481,"March 17, 2017 at 10:07AM"
@realDonaldTrump,Great meeting with the @RepublicanStudy Committee this morning at the @WhiteHouse! https://t.co/8Y2UoHoYaY,http://twitter.com/realDonaldTrump/status/842762240184999936,"March 17, 2017 at 11:39AM"
