Age and Family Income,,Total population,,,,,,,,,,,,,,Total population,
,,,Total Citizen Population,Reported registered,,Reported not registered,,No response to registration1 ,,Reported voted,,Reported not voted,,No response to voting2 ,,Reported registered,Reported voted
,,,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Percent,Percent
18 YEARS AND OVER,Total,180221,164884,122156,74.1,17083,10.4,25645,15.6,113051,68.6,26769,16.2,25064,15.2,67.8,62.7
18 YEARS AND OVER,Under 10000,3083,2571,1523,59.2,629,24.5,419,16.3,1212,47.1,997,38.8,362,14.1,49.4,39.3
18 YEARS AND OVER,10000 - 14999,3359,2762,1745,63.2,645,23.4,371,13.4,1392,50.4,1011,36.6,358,13.0,52.0,41.5
18 YEARS AND OVER,15000 - 19999,3327,2833,1637,57.8,787,27.8,409,14.4,1412,49.8,1048,37.0,374,13.2,49.2,42.4
18 YEARS AND OVER,20000 - 29999,9142,7774,5124,65.9,1661,21.4,989,12.7,4357,56.1,2475,31.8,942,12.1,56.0,47.7
18 YEARS AND OVER,30000 - 39999,12794,10829,7637,70.5,1848,17.1,1345,12.4,6832,63.1,2708,25.0,1290,11.9,59.7,53.4
18 YEARS AND OVER,"40,000 - 49999",9948,8637,6616,76.6,1182,13.7,838,9.7,5923,68.6,1939,22.4,774,9.0,66.5,59.5
18 YEARS AND OVER,50000 - 74999,25741,23430,18412,78.6,2814,12.0,2204,9.4,16875,72.0,4474,19.1,2082,8.9,71.5,65.6
18 YEARS AND OVER,75000 - 99999,20431,19092,15771,82.6,1709,9.0,1611,8.4,14705,77.0,2792,14.6,1594,8.4,77.2,72.0
18 YEARS AND OVER,100000 - 149999,24215,23125,19691,85.1,1653,7.1,1782,7.7,18626,80.5,2729,11.8,1771,7.7,81.3,76.9
18 YEARS AND OVER,150000 and over,27595,26167,23008,87.9,1134,4.3,2025,7.7,22190,84.8,1990,7.6,1987,7.6,83.4,80.4
18 YEARS AND OVER,Income not reported,40586,37664,20992,55.7,3021,8.0,13650,36.2,19527,51.8,4607,12.2,13530,35.9,51.7,48.1
18 TO 24 YEARS,Total,20884,19612,11650,59.4,4056,20.7,3907,19.9,10081,51.4,5736,29.2,3795,19.4,55.8,48.3
18 TO 24 YEARS,Under 10000,535,470,221,47.1,173,36.8,76,16.2,168,35.8,235,49.9,67,14.3,41.3,31.5
18 TO 24 YEARS,10000 - 14999,539,476,253,53.2,135,28.4,88,18.4,195,40.9,206,43.2,75,15.9,47.0,36.1
18 TO 24 YEARS,15000 - 19999,535,480,188,39.1,184,38.3,108,22.6,162,33.8,229,47.8,88,18.4,35.1,30.3
18 TO 24 YEARS,20000 - 29999,1081,997,465,46.7,391,39.3,140,14.1,332,33.3,538,54.0,127,12.7,43.0,30.7
18 TO 24 YEARS,30000 - 39999,1770,1593,895,56.2,412,25.9,286,17.9,741,46.5,582,36.5,270,17.0,50.5,41.9
18 TO 24 YEARS,40000 - 49999,1210,1078,632,58.6,271,25.1,176,16.3,519,48.2,393,36.5,165,15.3,52.2,42.9
18 TO 24 YEARS,50000 - 74999,2875,2637,1594,60.4,660,25.0,384,14.5,1334,50.6,921,34.9,382,14.5,55.4,46.4
18 TO 24 YEARS,75000 - 99999,2142,1988,1328,66.8,377,19.0,283,14.2,1173,59.0,528,26.6,286,14.4,62.0,54.8
18 TO 24 YEARS,100000 - 149999,2699,2666,1925,72.2,429,16.1,313,11.7,1724,64.6,645,24.2,297,11.1,71.3,63.9
